,year,chamber,district_number,winner,DEM,REP,LIB,CST,GRE,UNA,REP_wasted,DEM_wasted,wasted,dem_percent
195,2004-01-01,house,13,REP,8513.0,20607.0,0.0,0.0,0.0,0.0,12093.0,8513.0,20606.0,0.292342032967033
196,2004-01-01,house,14,REP,7406.0,11479.0,0.0,0.0,0.0,0.0,4072.0,7406.0,11478.0,0.39216309240137676
197,2004-01-01,house,15,REP,0.0,9196.0,0.0,0.0,0.0,0.0,9195.0,0.0,9195.0,0.0
198,2004-01-01,house,16,REP,0.0,25427.0,0.0,0.0,0.0,0.0,25426.0,0.0,25426.0,0.0
199,2004-01-01,house,17,REP,16288.0,16745.0,550.0,0.0,0.0,0.0,456.0,16288.0,16744.0,0.4930826749008567
200,2004-01-01,house,18,DEM,14712.0,8347.0,0.0,0.0,0.0,0.0,8347.0,6364.0,14711.0,0.6380155253913873
201,2004-01-01,house,19,REP,0.0,27954.0,0.0,0.0,0.0,0.0,27953.0,0.0,27953.0,0.0
202,2004-01-01,house,2,DEM,16949.0,10607.0,0.0,0.0,0.0,0.0,10607.0,6341.0,16948.0,0.6150747568587603
203,2004-01-01,house,20,DEM,19158.0,0.0,0.0,0.0,0.0,0.0,0.0,19157.0,19157.0,1.0
204,2004-01-01,house,21,DEM,17812.0,0.0,0.0,0.0,0.0,0.0,0.0,17811.0,17811.0,1.0
205,2004-01-01,house,22,DEM,18646.0,0.0,0.0,0.0,0.0,0.0,0.0,18645.0,18645.0,1.0
206,2004-01-01,house,23,DEM,17040.0,8804.0,0.0,0.0,0.0,0.0,8804.0,8235.0,17039.0,0.6593406593406593
207,2004-01-01,house,24,DEM,19501.0,0.0,0.0,0.0,0.0,0.0,0.0,19500.0,19500.0,1.0
208,2004-01-01,house,25,REP,0.0,20092.0,0.0,0.0,0.0,0.0,20091.0,0.0,20091.0,0.0
209,2004-01-01,house,26,REP,0.0,20320.0,0.0,0.0,0.0,0.0,20319.0,0.0,20319.0,0.0
210,2004-01-01,house,27,DEM,21237.0,0.0,0.0,0.0,0.0,0.0,0.0,21236.0,21236.0,1.0
211,2004-01-01,house,28,REP,0.0,23805.0,0.0,0.0,0.0,0.0,23804.0,0.0,23804.0,0.0
212,2004-01-01,house,29,DEM,27249.0,0.0,0.0,0.0,0.0,0.0,0.0,27248.0,27248.0,1.0
